clip_id,source,angle_median,angle_min,angle_max,p1_x,p1_y,p2_x,p2_y,camera_x,camera_y,camera_height,focal_px,n_frames_used,n_frames_hip_fallback,reproj_rmse_px
02chudankeri-3_02,02chudankeri-3_norm.mp4,74.66,14.47,89.92,-0.516,-0.863,-0.928,0.342,6.427,0.279,1.346,1627.0,60,0,5.97
02chudankeri-3_03,02chudankeri-3_norm.mp4,66.78,13.44,89.79,-0.532,-0.839,-0.861,0.335,6.427,0.279,1.346,1627.0,60,0,5.97
02chudankeri-3_04,02chudankeri-3_norm.mp4,60.89,13.76,89.82,-0.514,-0.772,-0.857,0.272,6.427,0.279,1.346,1627.0,60,0,5.97
02chudankeri-3_05,02chudankeri-3_norm.mp4,76.75,13.64,89.66,-0.417,-0.837,-0.787,0.358,6.427,0.279,1.346,1627.0,60,0,5.97
02chudankeri-3_06,02chudankeri-3_norm.mp4,73.44,12.31,89.56,-0.526,-0.940,-0.859,0.011,6.427,0.279,1.346,1627.0,60,0,5.97
02chudankeri-3_07,02chudankeri-3_norm.mp4,68.41,12.88,89.95,-0.535,-0.922,-0.960,0.145,6.427,0.279,1.346,1627.0,60,0,5.97
02chudankeri-3_08,02chudankeri-3_norm.mp4,67.37,12.81,89.58,-0.572,-0.930,-0.823,0.153,6.427,0.279,1.346,1627.0,60,0,5.97
02chudankeri-4_01,02chudankeri-4_norm.mp4,51.58,8.27,89.89,-0.771,-0.559,-1.368,-0.117,6.508,0.164,1.367,1645.5,60,0,6.89
02chudankeri-4_02,02chudankeri-4_norm.mp4,49.84,7.57,89.69,-0.823,-0.553,-1.178,-0.057,6.508,0.164,1.367,1645.5,60,0,6.89
02chudankeri-4_03,02chudankeri-4_norm.mp4,46.74,7.78,88.26,-0.850,-0.550,-1.850,0.404,6.508,0.164,1.367,1645.5,60,0,6.89
02chudankeri-4_04,02chudankeri-4_norm.mp4,45.42,5.89,88.68,-0.861,-0.532,-1.778,0.386,6.508,0.164,1.367,1645.5,60,0,6.89
02chudankeri-4_05,02chudankeri-4_norm.mp4,38.82,8.27,88.37,-0.863,-0.521,-2.142,0.306,6.508,0.164,1.367,1645.5,60,0,6.89
02chudankeri-5_01,02chudankeri-5_norm.mp4,53.08,8.52,87.76,-0.682,0.344,-0.217,1.104,4.306,-4.468,1.292,1975.8,60,0,5.56
02chudankeri-5_02,02chudankeri-5_norm.mp4,54.65,12.79,87.57,-0.748,0.309,-0.213,1.123,4.306,-4.468,1.292,1975.8,60,0,5.56
02chudankeri-5_03,02chudankeri-5_norm.mp4,49.08,14.09,89.83,-1.027,0.348,-0.239,1.109,4.306,-4.468,1.292,1975.8,60,0,5.56
02chudankeri-5_04,02chudankeri-5_norm.mp4,52.71,10.27,89.07,-0.949,0.338,-0.264,1.065,4.306,-4.468,1.292,1975.8,60,0,5.56
02chudankeri-5_05,02chudankeri-5_norm.mp4,50.03,12.27,85.13,-0.712,0.244,-0.301,1.076,4.306,-4.468,1.292,1975.8,60,0,5.56
02chudankeri-5_06,02chudankeri-5_norm.mp4,55.94,9.58,89.77,-0.717,0.502,-0.177,1.124,4.306,-4.468,1.292,1975.8,60,0,5.56
02chudankeri-5_07,02chudankeri-5_norm.mp4,57.23,10.85,87.54,-0.835,0.508,-0.174,1.138,4.306,-4.468,1.292,1975.8,60,0,5.56
02chudankeri-5_08,02chudankeri-5_norm.mp4,61.53,11.72,87.80,-0.777,0.549,-0.146,1.144,4.306,-4.468,1.292,1975.8,60,0,5.56
02chudankeri-6_01,02chudankeri-6_norm.mp4,50.03,7.40,89.38,-1.085,0.877,-0.038,0.911,4.306,-4.468,1.292,1975.8,60,0,5.56
02chudankeri-6_02,02chudankeri-6_norm.mp4,61.04,7.69,89.42,-0.877,0.682,0.010,0.884,4.306,-4.468,1.292,1975.8,60,0,5.56
02chudankeri-6_03,02chudankeri-6_norm.mp4,51.31,8.09,89.55,-1.019,0.970,-0.121,0.974,4.306,-4.468,1.292,1975.8,60,0,5.56
02chudankeri-6_04,02chudankeri-6_norm.mp4,51.08,11.46,85.20,-0.834,0.875,-0.018,0.869,4.306,-4.468,1.292,1975.8,60,0,5.56
02chudankeri-6_05,02chudankeri-6_norm.mp4,50.90,8.04,88.34,-0.978,0.915,-0.110,0.912,4.306,-4.468,1.292,1975.8,60,0,5.56
02chudankeri-6_06,02chudankeri-6_norm.mp4,41.34,8.40,86.13,-1.129,1.062,-0.097,0.927,4.306,-4.468,1.292,1975.8,60,0,5.56
03jodankeri-1_19,03jodankeri-1_norm.mp4,32.20,11.62,78.20,-3.563,-0.698,-0.779,0.948,5.753,-0.007,1.143,1443.3,60,0,2.97
