clip_id,source,angle_median,angle_min,angle_max,p1_x,p1_y,p2_x,p2_y,camera_x,camera_y,camera_height,focal_px,n_frames_used,n_frames_hip_fallback,reproj_rmse_px
03jodankeri-3_01,03jodankeri-3_norm.mp4,48.99,7.86,89.64,-0.516,-0.867,-1.624,-0.056,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_02,03jodankeri-3_norm.mp4,35.56,9.03,89.77,-0.347,-0.950,-1.976,-0.118,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_03,03jodankeri-3_norm.mp4,33.85,11.26,89.82,-0.311,-0.935,-2.028,-0.167,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_04,03jodankeri-3_norm.mp4,29.51,9.62,89.97,-0.253,-0.968,-2.627,-0.137,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_05,03jodankeri-3_norm.mp4,47.70,15.31,89.86,-0.483,-1.047,-1.385,-0.228,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_06,03jodankeri-3_norm.mp4,69.61,13.42,87.73,-0.313,-1.104,-0.826,-0.167,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_07,03jodankeri-3_norm.mp4,52.99,15.33,84.63,-0.233,-1.154,-1.187,-0.184,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_08,03jodankeri-3_norm.mp4,39.18,13.90,88.68,-0.202,-1.160,-1.688,-0.297,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_09,03jodankeri-3_norm.mp4,29.10,10.97,87.40,-0.244,-1.209,-2.296,-0.448,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_10,03jodankeri-3_norm.mp4,47.30,12.35,89.47,-0.206,-1.264,-1.200,-0.456,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_11,03jodankeri-3_norm.mp4,44.76,14.99,89.71,-0.227,-1.277,-1.342,-0.573,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_12,03jodankeri-3_norm.mp4,37.37,7.94,89.60,-0.089,-1.265,-1.536,-0.503,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_13,03jodankeri-3_norm.mp4,40.72,7.31,84.81,-0.170,-1.001,-1.348,-0.219,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-3_14,03jodankeri-3_norm.mp4,34.31,12.56,89.87,-0.168,-0.993,-1.896,-0.119,6.492,0.305,1.348,1642.8,60,0,6.44
03jodankeri-4_01,03jodankeri-4_norm.mp4,15.71,2.86,53.56,-1.715,0.690,0.097,1.064,6.446,0.117,1.341,1635.3,60,0,7.22
03jodankeri-4_02,03jodankeri-4_norm.mp4,27.17,4.14,45.24,-1.644,0.545,0.049,1.057,6.446,0.117,1.341,1635.3,60,0,7.22
03jodankeri-4_03,03jodankeri-4_norm.mp4,30.15,4.32,59.10,-1.612,0.521,0.082,1.054,6.446,0.117,1.341,1635.3,60,0,7.22
03jodankeri-4_04,03jodankeri-4_norm.mp4,31.53,4.45,60.05,-1.625,0.450,0.091,1.055,6.446,0.117,1.341,1635.3,60,0,7.22
03jodankeri-4_05,03jodankeri-4_norm.mp4,31.77,5.22,56.34,-1.645,0.427,0.085,1.056,6.446,0.117,1.341,1635.3,60,0,7.22
03jodankeri-4_06,03jodankeri-4_norm.mp4,27.19,2.84,53.09,-1.601,0.562,0.081,1.057,6.446,0.117,1.341,1635.3,60,0,7.22
03jodankeri-4_07,03jodankeri-4_norm.mp4,25.69,6.39,81.85,-1.422,0.452,0.060,1.053,6.446,0.117,1.341,1635.3,60,0,7.22
03jodankeri-4_08,03jodankeri-4_norm.mp4,25.61,4.29,49.97,-1.681,0.520,0.080,1.057,6.446,0.117,1.341,1635.3,60,0,7.22
03jodankeri-5_01,03jodankeri-5_norm.mp4,61.53,5.89,89.72,-0.757,0.511,-0.184,1.080,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_02,03jodankeri-5_norm.mp4,60.58,4.39,86.80,-0.888,0.510,-0.400,1.207,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_03,03jodankeri-5_norm.mp4,55.25,6.50,89.89,-1.249,0.812,-0.425,1.144,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_04,03jodankeri-5_norm.mp4,57.30,4.11,87.36,-0.972,0.528,-0.501,1.154,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_05,03jodankeri-5_norm.mp4,22.75,3.95,88.83,-0.576,-0.748,-1.590,1.478,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_06,03jodankeri-5_norm.mp4,39.70,7.11,89.22,-1.912,1.537,-0.208,1.298,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_07,03jodankeri-5_norm.mp4,55.32,6.47,88.56,-1.684,1.089,-0.416,1.307,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_08,03jodankeri-5_norm.mp4,50.67,5.29,89.78,-1.871,1.249,-0.507,1.362,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_09,03jodankeri-5_norm.mp4,40.38,8.03,87.89,-2.193,1.544,-0.579,1.394,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_10,03jodankeri-5_norm.mp4,22.67,9.49,89.69,-3.118,2.539,-0.566,1.435,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_11,03jodankeri-5_norm.mp4,60.39,9.90,89.01,-1.651,1.197,-0.473,1.457,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_12,03jodankeri-5_norm.mp4,47.26,10.56,88.90,-1.831,1.395,-0.455,1.437,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_13,03jodankeri-5_norm.mp4,35.27,6.79,89.53,-2.317,1.809,-0.644,1.488,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_14,03jodankeri-5_norm.mp4,25.33,5.79,89.95,-2.889,2.017,-0.597,1.201,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-5_15,03jodankeri-5_norm.mp4,39.63,11.17,87.65,-2.188,1.339,-0.597,1.211,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_01,03jodankeri-6_norm.mp4,39.77,5.90,76.84,-0.727,-0.861,-0.984,0.779,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_02,03jodankeri-6_norm.mp4,20.90,1.34,72.31,-0.752,-0.819,-1.716,1.179,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_03,03jodankeri-6_norm.mp4,55.00,5.36,89.69,-0.739,-0.831,-0.634,0.663,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_04,03jodankeri-6_norm.mp4,31.29,4.66,81.94,-0.742,-0.830,-1.270,0.940,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_05,03jodankeri-6_norm.mp4,35.59,5.69,80.80,-0.762,-0.817,-1.168,1.102,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_06,03jodankeri-6_norm.mp4,49.49,5.88,89.83,-0.756,-0.818,-0.705,0.797,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_07,03jodankeri-6_norm.mp4,40.02,5.64,86.06,-0.749,-0.821,-0.984,0.762,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_08,03jodankeri-6_norm.mp4,37.46,0.96,69.20,-0.752,-0.814,-1.087,0.991,4.386,-4.475,1.294,1989.6,60,0,8.05
03jodankeri-6_09,03jodankeri-6_norm.mp4,39.24,5.58,82.90,-0.753,-0.817,-1.028,1.024,4.386,-4.475,1.294,1989.6,60,0,8.05
00kizami-10_12,00kizami-10_norm.mp4,67.85,52.02,89.60,-1.086,0.355,-0.363,1.577,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-10_13,00kizami-10_norm.mp4,68.10,53.00,88.18,-1.178,0.360,-0.324,1.599,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-10_14,00kizami-10_norm.mp4,82.99,61.71,89.88,-1.287,0.311,-0.389,1.453,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-10_15,00kizami-10_norm.mp4,73.92,52.65,89.12,-1.155,0.129,-0.507,1.466,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-10_16,00kizami-10_norm.mp4,66.33,51.51,89.45,-1.105,0.353,-0.293,1.252,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-10_17,00kizami-10_norm.mp4,61.52,37.48,85.27,-0.764,0.279,-0.353,1.245,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-10_18,00kizami-10_norm.mp4,66.87,50.34,89.92,-0.927,0.450,-0.469,1.333,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-10_19,00kizami-10_norm.mp4,75.17,51.12,89.71,-1.032,0.667,-0.370,1.508,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-10_20,00kizami-10_norm.mp4,78.82,53.57,88.51,-1.157,0.508,-0.307,1.570,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-10_21,00kizami-10_norm.mp4,79.97,55.18,88.87,-1.107,0.601,-0.390,1.626,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-10_22,00kizami-10_norm.mp4,73.31,55.47,89.88,-1.052,0.378,-0.360,1.669,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-10_23,00kizami-10_norm.mp4,71.52,56.76,89.94,-1.087,0.264,-0.379,1.566,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-11_04,00kizami-11_norm.mp4,67.42,46.12,87.65,-1.004,-0.617,-0.366,1.310,4.469,-4.534,1.298,2030.2,60,0,2.77
00kizami-11_05,00kizami-11_norm.mp4,68.73,48.12,87.17,-1.036,-0.596,-0.296,1.482,4.469,-4.534,1.298,2030.2,60,0,2.77
00kizami-11_06,00kizami-11_norm.mp4,62.57,47.81,89.08,-0.996,-0.621,-0.282,1.478,4.469,-4.534,1.298,2030.2,60,0,2.77
00kizami-11_07,00kizami-11_norm.mp4,62.54,44.03,89.60,-1.005,-0.608,-0.418,1.485,4.469,-4.534,1.298,2030.2,60,0,2.77
00kizami-11_08,00kizami-11_norm.mp4,52.10,38.22,88.00,-0.833,-0.219,-0.579,1.296,4.469,-4.534,1.298,2030.2,60,0,2.77
00kizami-11_09,00kizami-11_norm.mp4,52.30,34.89,88.78,-0.842,-0.218,-0.567,1.471,4.469,-4.534,1.298,2030.2,60,0,2.77
00kizami-11_10,00kizami-11_norm.mp4,54.62,38.94,89.50,-0.851,-0.220,-0.673,1.168,4.469,-4.534,1.298,2030.2,60,0,2.77
00kizami-11_11,00kizami-11_norm.mp4,65.37,46.65,89.20,-0.975,-0.595,-0.568,1.027,4.469,-4.534,1.298,2030.2,60,0,2.77
00kizami-11_12,00kizami-11_norm.mp4,67.71,29.92,89.06,-0.986,-0.643,-0.543,0.893,4.469,-4.534,1.298,2030.2,60,0,2.77
00kizami-11_13,00kizami-11_norm.mp4,65.38,49.81,79.34,-1.007,-0.617,-0.570,0.922,4.469,-4.534,1.298,2030.2,60,0,2.77
00kizami-11_14,00kizami-11_norm.mp4,60.14,38.43,84.77,-1.022,-0.613,-0.642,1.049,4.469,-4.534,1.298,2030.2,60,0,2.77
00kizami-1_09,00kizami-1_norm.mp4,67.98,43.01,88.75,-1.858,-0.930,-1.057,0.877,5.666,-0.138,1.125,1443.9,60,0,3.96
00kizami-1_10,00kizami-1_norm.mp4,62.94,42.68,89.30,-1.997,-0.860,-1.220,0.905,5.666,-0.138,1.125,1443.9,60,0,3.96
00kizami-1_11,00kizami-1_norm.mp4,55.08,14.74,72.01,-1.704,-1.140,-1.002,0.253,5.666,-0.138,1.125,1443.9,60,0,3.96
00kizami-1_12,00kizami-1_norm.mp4,49.07,8.41,81.66,-1.680,-0.705,-0.782,0.692,5.666,-0.138,1.125,1443.9,60,0,3.96
00kizami-1_13,00kizami-1_norm.mp4,62.73,46.11,88.28,-1.787,-0.938,-1.045,0.707,5.666,-0.138,1.125,1443.9,60,0,3.96
00kizami-1_14,00kizami-1_norm.mp4,66.02,49.43,84.44,-1.673,-0.800,-1.002,0.799,5.666,-0.138,1.125,1443.9,60,0,3.96
00kizami-1_15,00kizami-1_norm.mp4,79.52,53.36,89.98,-1.518,-0.726,-1.101,0.874,5.666,-0.138,1.125,1443.9,60,0,3.96
00kizami-1_16,00kizami-1_norm.mp4,66.14,36.76,89.99,-1.750,-0.596,-1.075,0.925,5.666,-0.138,1.125,1443.9,60,0,3.96
00kizami-2_09,00kizami-2_norm.mp4,67.40,41.67,86.46,-1.380,-0.631,-0.542,1.230,5.729,-0.119,1.140,1436.7,60,0,4.75
00kizami-2_10,00kizami-2_norm.mp4,60.66,42.20,86.44,-1.576,-0.686,-0.515,1.241,5.729,-0.119,1.140,1436.7,60,0,4.75
00kizami-2_11,00kizami-2_norm.mp4,60.57,51.85,78.81,-1.494,-0.567,-0.619,1.145,5.729,-0.119,1.140,1436.7,60,0,4.75
00kizami-2_12,00kizami-2_norm.mp4,68.45,48.38,85.30,-1.386,-0.656,-0.692,1.124,5.729,-0.119,1.140,1436.7,60,0,4.75
00kizami-2_13,00kizami-2_norm.mp4,58.51,31.14,82.95,-1.429,-0.464,-0.501,0.911,5.729,-0.119,1.140,1436.7,60,0,4.75
00kizami-2_14,00kizami-2_norm.mp4,73.21,23.10,89.39,-1.156,-0.469,-0.670,0.966,5.729,-0.119,1.140,1436.7,60,0,4.75
00kizami-2_15,00kizami-2_norm.mp4,59.06,47.59,89.63,-1.290,-0.174,-0.565,1.127,5.729,-0.119,1.140,1436.7,60,0,4.75
00kizami-2_16,00kizami-2_norm.mp4,62.37,48.41,85.98,-1.514,-0.502,-0.504,1.154,5.729,-0.119,1.140,1436.7,60,0,4.75
00kizami-2_17,00kizami-2_norm.mp4,63.07,55.69,85.68,-1.407,-0.267,-0.592,1.199,5.729,-0.119,1.140,1436.7,60,0,4.75
00kizami-2_18,00kizami-2_norm.mp4,69.03,55.41,87.63,-1.319,-0.320,-0.575,1.204,5.729,-0.119,1.140,1436.7,60,0,4.75
00kizami-2_19,00kizami-2_norm.mp4,72.38,41.87,83.55,-1.315,-0.736,-0.575,1.014,5.729,-0.119,1.140,1436.7,60,0,4.75
00kizami-3_07,00kizami-3_norm.mp4,67.44,32.14,89.85,-1.723,-1.122,-1.364,0.564,5.901,-0.067,1.186,1469.8,60,0,7.18
00kizami-3_08,00kizami-3_norm.mp4,67.25,14.43,87.87,-1.812,-1.145,-1.213,0.667,5.901,-0.067,1.186,1469.8,60,0,7.18
00kizami-3_09,00kizami-3_norm.mp4,72.55,14.96,89.66,-1.697,-1.126,-1.208,0.571,5.901,-0.067,1.186,1469.8,60,0,7.18
00kizami-3_10,00kizami-3_norm.mp4,72.01,10.09,89.90,-1.776,-1.148,-1.431,0.687,5.901,-0.067,1.186,1469.8,60,0,7.18
00kizami-3_11,00kizami-3_norm.mp4,72.39,7.90,89.95,-1.536,-0.638,-1.569,0.491,5.901,-0.067,1.186,1469.8,57,0,7.18
00kizami-3_12,00kizami-3_norm.mp4,75.08,11.15,88.88,-1.448,-0.634,-1.542,0.617,5.901,-0.067,1.186,1469.8,60,0,7.18
00kizami-3_13,00kizami-3_norm.mp4,75.96,17.40,89.98,-1.452,-0.630,-1.532,0.435,5.901,-0.067,1.186,1469.8,60,0,7.18
00kizami-3_14,00kizami-3_norm.mp4,66.74,12.61,85.88,-1.790,-1.081,-1.563,0.018,5.901,-0.067,1.186,1469.8,58,0,7.18
00kizami-3_15,00kizami-3_norm.mp4,58.11,25.13,88.53,-1.848,-1.109,-1.505,-0.026,5.901,-0.067,1.186,1469.8,56,0,7.18
00kizami-3_16,00kizami-3_norm.mp4,71.51,17.24,86.57,-1.759,-1.077,-1.521,0.341,5.901,-0.067,1.186,1469.8,54,0,7.18
00kizami-3_17,00kizami-3_norm.mp4,69.31,21.92,89.00,-1.733,-1.070,-1.453,0.273,5.901,-0.067,1.186,1469.8,60,0,7.18
00kizami-6_09,00kizami-6_norm.mp4,80.96,52.13,89.49,-0.523,-1.233,-0.548,0.649,6.407,0.249,1.366,1633.2,60,0,7.93
00kizami-6_10,00kizami-6_norm.mp4,78.55,40.60,89.36,-0.566,-1.256,-0.520,0.681,6.407,0.249,1.366,1633.2,60,0,7.93
00kizami-6_11,00kizami-6_norm.mp4,82.79,41.12,89.94,-0.431,-1.156,-0.392,0.577,6.407,0.249,1.366,1633.2,60,0,7.93
00kizami-6_12,00kizami-6_norm.mp4,80.85,37.45,88.20,-0.398,-1.143,-0.234,0.461,6.407,0.249,1.366,1633.2,60,0,7.93
00kizami-6_13,00kizami-6_norm.mp4,80.33,30.66,90.00,-0.550,-0.926,-0.545,0.380,6.407,0.249,1.366,1633.2,60,0,7.93
00kizami-6_14,00kizami-6_norm.mp4,78.73,25.82,89.49,-0.429,-1.001,-0.267,0.390,6.407,0.249,1.366,1633.2,60,0,7.93
00kizami-6_15,00kizami-6_norm.mp4,78.96,34.84,89.57,-0.526,-1.155,-0.314,0.176,6.407,0.249,1.366,1633.2,60,0,7.93
00kizami-6_16,00kizami-6_norm.mp4,82.76,46.74,89.85,-0.617,-1.149,-0.635,0.462,6.407,0.249,1.366,1633.2,60,0,7.93
00kizami-6_17,00kizami-6_norm.mp4,78.96,41.97,88.02,-0.577,-1.204,-0.471,0.267,6.407,0.249,1.366,1633.2,60,0,7.93
00kizami-6_18,00kizami-6_norm.mp4,79.61,35.19,88.37,-0.555,-1.245,-0.400,0.259,6.407,0.249,1.366,1633.2,60,0,7.93
00kizami-6_19,00kizami-6_norm.mp4,82.88,31.81,89.64,-0.543,-1.124,-0.541,0.457,6.407,0.249,1.366,1633.2,60,0,7.93
00kizami-9_09,00kizami-9_norm.mp4,61.68,48.79,89.73,-1.156,-0.035,-0.625,1.365,4.323,-4.271,1.265,1935.4,60,0,3.60
00kizami-9_10,00kizami-9_norm.mp4,70.83,52.66,89.98,-1.384,-0.237,-0.814,1.190,4.323,-4.271,1.265,1935.4,60,0,3.60
00kizami-9_11,00kizami-9_norm.mp4,67.75,53.02,89.03,-1.600,-0.147,-0.938,1.220,4.323,-4.271,1.265,1935.4,60,0,3.60
00kizami-9_12,00kizami-9_norm.mp4,75.87,38.43,89.50,-1.399,-0.419,-0.666,0.572,4.323,-4.271,1.265,1935.4,60,0,3.60
00kizami-9_13,00kizami-9_norm.mp4,71.07,20.01,89.31,-1.290,0.225,-0.526,1.024,4.323,-4.271,1.265,1935.4,60,0,3.60
00kizami-9_14,00kizami-9_norm.mp4,65.62,54.06,89.34,-1.266,-0.014,-0.673,1.101,4.323,-4.271,1.265,1935.4,60,0,3.60
00kizami-9_15,00kizami-9_norm.mp4,79.48,55.20,89.85,-1.456,-0.213,-0.755,1.060,4.323,-4.271,1.265,1935.4,60,0,3.60
00kizami-9_16,00kizami-9_norm.mp4,79.87,59.38,89.82,-1.379,-0.052,-0.688,1.171,4.323,-4.271,1.265,1935.4,60,0,3.60
00kizami-9_17,00kizami-9_norm.mp4,65.40,50.38,89.87,-1.265,-0.098,-0.777,1.261,4.323,-4.271,1.265,1935.4,60,0,3.60
00kizami-9_18,00kizami-9_norm.mp4,71.53,52.61,89.92,-1.405,0.173,-0.713,1.222,4.323,-4.271,1.265,1935.4,60,0,3.60
00kizami-10_01,00kizami-10_norm.mp4,75.04,56.23,89.80,-0.955,0.341,-0.145,1.437,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-10_02,00kizami-10_norm.mp4,63.77,50.54,87.70,-1.117,0.384,-0.553,1.480,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-10_03,00kizami-10_norm.mp4,62.72,42.80,88.19,-1.264,0.585,-0.565,1.470,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-10_07,00kizami-10_norm.mp4,65.71,56.66,88.07,-1.347,0.446,-0.611,1.406,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-10_08,00kizami-10_norm.mp4,70.91,58.19,87.54,-1.334,0.395,-0.662,1.422,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-10_09,00kizami-10_norm.mp4,73.76,54.54,88.39,-0.991,0.446,-0.416,1.432,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-10_10,00kizami-10_norm.mp4,67.28,51.25,89.54,-1.012,0.591,-0.096,1.487,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-10_11,00kizami-10_norm.mp4,70.36,56.73,89.89,-0.984,0.480,-0.277,1.581,4.701,-4.561,1.342,2096.2,60,0,5.67
00kizami-11_01,00kizami-11_norm.mp4,60.80,16.75,89.33,-1.050,-0.715,-0.653,0.851,4.469,-4.534,1.298,2030.2,60,0,2.77
00kizami-11_02,00kizami-11_norm.mp4,64.63,47.14,89.29,-1.023,-0.751,-0.646,0.657,4.469,-4.534,1.298,2030.2,60,0,2.77
00kizami-11_03,00kizami-11_norm.mp4,58.84,40.46,87.91,-1.021,-0.754,-0.578,0.707,4.469,-4.534,1.298,2030.2,60,0,2.77
00kizami-12_01,00kizami-12_norm.mp4,67.18,26.36,89.65,-0.990,-0.511,-0.676,1.158,4.448,-4.458,1.297,2011.0,60,0,3.19
00kizami-12_02,00kizami-12_norm.mp4,57.01,20.21,87.36,-0.980,-0.534,-0.743,1.184,4.448,-4.458,1.297,2011.0,60,0,3.19
00kizami-12_03,00kizami-12_norm.mp4,62.48,18.89,87.93,-0.992,-0.520,-0.737,1.165,4.448,-4.458,1.297,2011.0,60,0,3.19
00kizami-12_04,00kizami-12_norm.mp4,60.14,21.25,89.11,-1.014,-0.504,-0.623,1.188,4.448,-4.458,1.297,2011.0,60,0,3.19
00kizami-12_05,00kizami-12_norm.mp4,60.74,27.92,84.29,-1.017,-0.535,-0.759,1.029,4.448,-4.458,1.297,2011.0,60,0,3.19
00kizami-12_06,00kizami-12_norm.mp4,48.64,18.75,86.73,-1.044,-0.552,-0.734,1.381,4.448,-4.458,1.297,2011.0,60,0,3.19
00kizami-12_07,00kizami-12_norm.mp4,58.12,36.51,88.28,-1.049,-0.552,-0.762,1.145,4.448,-4.458,1.297,2011.0,60,0,3.19
00kizami-12_08,00kizami-12_norm.mp4,56.84,29.95,89.07,-0.993,-0.546,-0.733,1.314,4.448,-4.458,1.297,2011.0,60,0,3.19
00kizami-1_01,00kizami-1_norm.mp4,56.10,17.84,80.28,-1.369,-0.503,-0.270,0.926,5.666,-0.138,1.125,1443.9,60,0,3.96
00kizami-1_02,00kizami-1_norm.mp4,58.21,26.08,83.52,-1.508,-0.462,-0.635,0.920,5.666,-0.138,1.125,1443.9,60,0,3.96
00kizami-1_03,00kizami-1_norm.mp4,55.00,25.69,83.92,-1.465,-0.593,-0.591,0.848,5.666,-0.138,1.125,1443.9,60,0,3.96
00kizami-1_04,00kizami-1_norm.mp4,55.79,21.14,83.10,-1.241,-0.570,-0.389,0.776,5.666,-0.138,1.125,1443.9,60,0,3.96
00kizami-1_05,00kizami-1_norm.mp4,56.11,37.59,88.41,-1.155,-0.486,-0.469,0.729,5.666,-0.138,1.125,1443.9,60,0,3.96
00kizami-1_06,00kizami-1_norm.mp4,55.64,22.68,83.74,-1.417,-0.464,-0.599,0.823,5.666,-0.138,1.125,1443.9,60,0,3.96
00kizami-1_07,00kizami-1_norm.mp4,58.96,33.00,84.82,-1.342,-0.479,-0.598,0.813,5.666,-0.138,1.125,1443.9,60,0,3.96
00kizami-1_08,00kizami-1_norm.mp4,55.44,27.81,89.29,-1.805,-0.551,-0.857,0.787,5.666,-0.138,1.125,1443.9,60,0,3.96
00kizami-2_01,00kizami-2_norm.mp4,55.92,26.42,82.85,-1.350,-0.388,-0.328,1.035,5.729,-0.119,1.140,1436.7,60,0,4.75
00kizami-2_02,00kizami-2_norm.mp4,70.39,29.88,89.52,-1.379,-0.249,-0.807,1.138,5.729,-0.119,1.140,1436.7,60,0,4.75
00kizami-2_03,00kizami-2_norm.mp4,67.55,35.74,89.48,-1.515,-0.132,-0.941,1.227,5.729,-0.119,1.140,1436.7,60,0,4.75
00kizami-2_04,00kizami-2_norm.mp4,61.54,36.83,87.09,-1.709,-0.246,-0.846,1.114,5.729,-0.119,1.140,1436.7,60,0,4.75
00kizami-2_05,00kizami-2_norm.mp4,62.33,40.56,86.60,-1.619,-0.264,-0.861,1.113,5.729,-0.119,1.140,1436.7,60,0,4.75
00kizami-2_06,00kizami-2_norm.mp4,65.68,44.33,88.25,-1.292,-0.163,-0.618,1.152,5.729,-0.119,1.140,1436.7,60,0,4.75
00kizami-2_07,00kizami-2_norm.mp4,52.69,19.59,80.53,-1.442,-0.103,-0.334,1.121,5.729,-0.119,1.140,1436.7,60,0,4.75
00kizami-2_08,00kizami-2_norm.mp4,60.66,32.92,83.39,-1.292,-0.182,-0.496,1.170,5.729,-0.119,1.140,1436.7,60,0,4.75
00kizami-3_01,00kizami-3_norm.mp4,67.58,1.82,89.35,-1.218,-1.182,-1.080,-0.202,5.901,-0.067,1.186,1469.8,60,0,7.18
00kizami-3_02,00kizami-3_norm.mp4,64.78,6.80,89.60,-1.630,-1.284,-1.514,-0.188,5.901,-0.067,1.186,1469.8,58,0,7.18
00kizami-3_03,00kizami-3_norm.mp4,62.80,18.22,89.29,-1.777,-1.278,-1.664,-0.208,5.901,-0.067,1.186,1469.8,60,0,7.18
00kizami-3_04,00kizami-3_norm.mp4,69.28,18.58,88.34,-1.783,-1.250,-1.716,-0.043,5.901,-0.067,1.186,1469.8,58,0,7.18
00kizami-3_05,00kizami-3_norm.mp4,79.41,31.86,89.73,-1.668,-1.227,-1.614,0.075,5.901,-0.067,1.186,1469.8,60,0,7.18
00kizami-3_06,00kizami-3_norm.mp4,75.95,16.21,88.38,-1.709,-1.235,-1.542,-0.089,5.901,-0.067,1.186,1469.8,58,0,7.18
00kizami-4_01,00kizami-4_norm.mp4,61.51,8.08,89.57,-1.264,-0.914,-1.197,0.079,5.614,-0.067,1.112,1413.8,58,0,4.01
00kizami-4_02,00kizami-4_norm.mp4,70.41,27.96,90.00,-1.166,-0.891,-1.074,0.145,5.614,-0.067,1.112,1413.8,56,0,4.01
00kizami-4_03,00kizami-4_norm.mp4,69.16,14.80,85.80,-1.127,-0.883,-1.202,0.084,5.614,-0.067,1.112,1413.8,60,0,4.01
00kizami-4_04,00kizami-4_norm.mp4,66.92,24.79,89.19,-1.221,-0.901,-1.214,0.207,5.614,-0.067,1.112,1413.8,60,0,4.01
00kizami-4_05,00kizami-4_norm.mp4,71.17,12.53,87.39,-1.233,-0.918,-1.089,0.261,5.614,-0.067,1.112,1413.8,58,0,4.01
00kizami-4_06,00kizami-4_norm.mp4,72.02,12.94,88.71,-1.185,-0.927,-1.288,0.283,5.614,-0.067,1.112,1413.8,60,0,4.01
00kizami-4_07,00kizami-4_norm.mp4,71.71,14.79,86.06,-1.305,-0.944,-1.221,0.164,5.614,-0.067,1.112,1413.8,60,0,4.01
00kizami-4_08,00kizami-4_norm.mp4,71.98,17.76,87.58,-1.256,-0.924,-1.194,0.391,5.614,-0.067,1.112,1413.8,60,0,4.01
00kizami-6_01,00kizami-6_norm.mp4,76.43,26.64,89.83,-0.854,-1.034,-0.700,0.400,6.407,0.249,1.366,1633.2,60,0,7.93
00kizami-6_02,00kizami-6_norm.mp4,80.73,22.34,89.34,-0.310,-1.166,-0.268,0.217,6.407,0.249,1.366,1633.2,60,0,7.93
00kizami-6_03,00kizami-6_norm.mp4,76.84,26.98,88.60,-0.330,-1.282,-0.192,0.078,6.407,0.249,1.366,1633.2,60,0,7.93
